127.0.0.1 - - [01/Apr/2017:08:39:54 +0800] "GET / HTTP/1.1" 404 1000
127.0.0.1 - - [01/Apr/2017:08:39:55 +0800] "GET /struts_m2m_six/ HTTP/1.1" 200 679
127.0.0.1 - - [01/Apr/2017:08:39:55 +0800] "GET /struts_m2m_six/js/jquery-1.8.2.min.js HTTP/1.1" 304 -
127.0.0.1 - - [01/Apr/2017:08:39:55 +0800] "GET /struts_m2m_six/js/index6.css HTTP/1.1" 304 -
127.0.0.1 - - [01/Apr/2017:08:39:55 +0800] "GET /struts_m2m_six/js/img2/body3.jpg HTTP/1.1" 304 -
127.0.0.1 - - [01/Apr/2017:08:40:20 +0800] "GET /struts_m2m_six/ HTTP/1.1" 200 679
127.0.0.1 - - [01/Apr/2017:08:40:20 +0800] "GET /struts_m2m_six/js/index4.css HTTP/1.1" 304 -
127.0.0.1 - - [01/Apr/2017:08:40:20 +0800] "GET /struts_m2m_six/js/jquery-1.8.2.min.js HTTP/1.1" 304 -
127.0.0.1 - - [01/Apr/2017:08:40:20 +0800] "GET /struts_m2m_six/js/img2/body1.jpg HTTP/1.1" 304 -
127.0.0.1 - - [01/Apr/2017:08:40:21 +0800] "GET /struts_m2m_six/ HTTP/1.1" 200 679
127.0.0.1 - - [01/Apr/2017:08:40:21 +0800] "GET /struts_m2m_six/js/jquery-1.8.2.min.js HTTP/1.1" 304 -
127.0.0.1 - - [01/Apr/2017:08:40:21 +0800] "GET /struts_m2m_six/js/index4.css HTTP/1.1" 304 -
127.0.0.1 - - [01/Apr/2017:08:40:21 +0800] "GET /struts_m2m_six/js/img2/body1.jpg HTTP/1.1" 304 -
127.0.0.1 - - [01/Apr/2017:08:40:34 +0800] "GET /struts_m2m_six/ HTTP/1.1" 200 679
127.0.0.1 - - [01/Apr/2017:08:40:34 +0800] "GET /struts_m2m_six/js/index5.css HTTP/1.1" 304 -
127.0.0.1 - - [01/Apr/2017:08:40:34 +0800] "GET /struts_m2m_six/js/jquery-1.8.2.min.js HTTP/1.1" 304 -
127.0.0.1 - - [01/Apr/2017:08:40:34 +0800] "GET /struts_m2m_six/js/img2/body2.jpg HTTP/1.1" 304 -
127.0.0.1 - - [01/Apr/2017:08:40:45 +0800] "GET /struts_m2m_six/ HTTP/1.1" 200 679
127.0.0.1 - - [01/Apr/2017:08:40:45 +0800] "GET /struts_m2m_six/js/jquery-1.8.2.min.js HTTP/1.1" 304 -
127.0.0.1 - - [01/Apr/2017:08:40:45 +0800] "GET /struts_m2m_six/js/index3.css HTTP/1.1" 304 -
127.0.0.1 - - [01/Apr/2017:08:40:45 +0800] "GET /struts_m2m_six/js/img/body3.jpg HTTP/1.1" 304 -
127.0.0.1 - - [01/Apr/2017:08:40:54 +0800] "GET /struts_m2m_six/ HTTP/1.1" 200 679
127.0.0.1 - - [01/Apr/2017:08:40:54 +0800] "GET /struts_m2m_six/js/jquery-1.8.2.min.js HTTP/1.1" 304 -
127.0.0.1 - - [01/Apr/2017:08:40:54 +0800] "GET /struts_m2m_six/js/index1.css HTTP/1.1" 304 -
127.0.0.1 - - [01/Apr/2017:08:40:54 +0800] "GET /struts_m2m_six/js/img/body2.jpg HTTP/1.1" 304 -
127.0.0.1 - - [01/Apr/2017:08:41:00 +0800] "GET /struts_m2m_six/Bean_list HTTP/1.1" 200 1445
127.0.0.1 - - [01/Apr/2017:08:41:05 +0800] "GET /struts_m2m_six/Bean_userList HTTP/1.1" 200 2206
127.0.0.1 - - [01/Apr/2017:08:41:07 +0800] "GET /struts_m2m_six/Bean_toadduser HTTP/1.1" 200 2445
127.0.0.1 - - [01/Apr/2017:08:41:10 +0800] "GET /struts_m2m_six/Bean_toupdasteuser?bean.uid=2 HTTP/1.1" 200 3342
